,Organization Group,Department,Total Compensation
0,Community Health,Public Health,96190.19013988487
1,Culture & Recreation,Law Library,188424.36222222226
2,Culture & Recreation,Academy of Sciences,107319.72769230767
3,Culture & Recreation,Arts Commission,94339.59738764046
4,Culture & Recreation,War Memorial,76250.06802153435
5,Culture & Recreation,Asian Art Museum,71401.52006042302
6,Culture & Recreation,Public Library,70446.35214706276
7,Culture & Recreation,Fine Arts Museum,44205.43989478499
8,Culture & Recreation,Recreation and Park Commission,38912.85946523483
9,General Administration & Finance,City Attorney,166082.67756061684
10,General Administration & Finance,Retirement System,117717.65858902574
11,General Administration & Finance,General Services Agency - Technology,110783.680158004
12,General Administration & Finance,Mayor,110765.3913327032
13,General Administration & Finance,Controller,104515.23494400665
14,General Administration & Finance,Ethics Commission,98631.38036585363
15,General Administration & Finance,Assessor/Recorder,89994.26061397773
16,General Administration & Finance,City Planning,89022.8769657349
17,General Administration & Finance,General Services Agency - City Admin,86123.5476094114
18,General Administration & Finance,Treasurer/Tax Collector,85449.25317039725
19,General Administration & Finance,Board of Supervisors,78801.34764132547
20,General Administration & Finance,Health Service System,70016.07113737096
21,General Administration & Finance,Human Resources,69729.72273740705
22,General Administration & Finance,Civil Service Commission,67966.75655913982
23,General Administration & Finance,Elections,20493.166617519495
24,General City Responsibilities,General Fund Unallocated,15824.151304347828
25,Human Welfare & Neighborhood Development,Rent Arbitration Board,102181.79394101881
26,Human Welfare & Neighborhood Development,Child Support Services,100044.07099747477
27,Human Welfare & Neighborhood Development,Children and Families Commission,96575.36619047615
28,Human Welfare & Neighborhood Development,Environment,75360.38745183885
29,Human Welfare & Neighborhood Development,"Children, Youth & Their Families",74304.9332835822
30,Human Welfare & Neighborhood Development,Human Services,65945.32768862949
31,Human Welfare & Neighborhood Development,Human Rights Commission,55672.50668269228
32,Human Welfare & Neighborhood Development,Department of the Status of Women,47968.52290322583
33,Human Welfare & Neighborhood Development,Community Investment & Infrastructure,42864.05653846154
34,Human Welfare & Neighborhood Development,Homelessness and Supportive Housing,40771.130277777775
35,Public Protection,Fire Department,180788.0869790982
36,Public Protection,Public Defender,147552.18573936517
37,Public Protection,Police,141263.70172872025
38,Public Protection,District Attorney,141215.3785571144
39,Public Protection,Sheriff,140381.59054187225
40,Public Protection,Department of Emergency Management,127421.75279331968
41,Public Protection,Adult Probation,100179.75876692815
42,Public Protection,Superior Court,99315.44936304331
43,Public Protection,Juvenile Probation,78586.8298231393
44,"Public Works, Transportation & Commerce",Port,112139.68001718225
45,"Public Works, Transportation & Commerce",Department of Building Inspection,112051.6151824817
46,"Public Works, Transportation & Commerce",PUC Water Department,109806.58756692831
47,"Public Works, Transportation & Commerce",PUC Wastewater Enterprise,108963.58978630723
48,"Public Works, Transportation & Commerce",Economic and Workforce Development,106112.40943204873
49,"Public Works, Transportation & Commerce",PUC Hetch Hetchy,105280.81533018878
50,"Public Works, Transportation & Commerce",PUC Public Utilities Commission,103433.58550627176
51,"Public Works, Transportation & Commerce",Municipal Transportation Agency,99471.11182204491
52,"Public Works, Transportation & Commerce",Airport Commission,96191.57823387011
53,"Public Works, Transportation & Commerce",General Services Agency - Public Works,89741.68256691552
54,"Public Works, Transportation & Commerce",Board of Appeals,51990.63488888887
55,"Public Works, Transportation & Commerce",PUC Clean Power,30940.465000000004
