,city_x,Yelp Restaurant Rating,Zomato Restaurant Rating
0,Atlanta,4.095505617977528,3.2011235955056176
1,Auckland,4.257142857142857,4.025714285714286
2,Austin,4.172413793103448,2.2149425287356324
3,Boston,4.125,3.044444444444444
4,Chicago,4.191860465116279,2.53139534883721
5,Houston,4.163265306122449,2.1489795918367345
6,Los Angeles,4.233333333333333,3.066666666666667
7,Lowell,3.8333333333333335,2.82962962962963
8,Melbourne,4.2875,4.0075
9,Montreal,4.392857142857143,2.8714285714285714
10,Orlando,4.321428571428571,2.435714285714286
11,Ottawa,4.243243243243243,3.454054054054054
12,Perth,4.023255813953488,3.7325581395348824
13,San Jose,4.0375,2.3375
14,Seattle,4.231481481481482,2.6777777777777776
15,Sydney,4.090909090909091,4.245454545454546
16,Toronto,4.159722222222222,3.016666666666667
